Date,Fish,Latitude,Longitude
Tagging,34-11,65.3581,-146.6131
Tagging,34-12,65.3564,-146.6167
Tagging,34-13,65.3531,-146.6259
Tagging,34-14,65.3511,-146.6390
Tagging,34-15,65.3511,-146.6390
Tagging,34-16,65.3678,-147.0860
Tagging,34-17,65.3653,-147.0797
Tagging,34-18,65.3659,-147.0778
Tagging,34-19,65.3674,-147.0791
Tagging,34-20,65.4570,-147.7180
Tagging,34-21,65.3356,-146.7325
Tagging,34-22,65.3408,-146.7120
Tagging,34-23,65.3293,-146.7898
Tagging,34-24,65.3338,-146.8391
Tagging,34-25,65.3397,-146.7151
Tagging,34-26,65.3491,-147.0034
Tagging,34-27,65.3293,-146.7898
Tagging,34-28,65.3303,-146.7638
Tagging,34-29,65.3332,-146.8126
Tagging,34-30,65.3397,-146.7151
Tagging,34-31,65.3338,-146.8391
Tagging,34-32,65.3338,-146.8391
Tagging,34-33,65.3386,-146.9590
Tagging,34-34,65.3342,-146.8337
Tagging,34-35,65.3336,-146.8146
Tagging,34-36,65.3336,-146.8146
Tagging,34-37,65.3364,-146.8654
Tagging,34-38,65.3354,-146.8769
Tagging,34-39,65.3360,-146.8983
Tagging,34-40,65.3372,-146.9030
Tagging,34-41,65.3372,-146.9030
Tagging,34-42,65.3384,-146.9138
Tagging,34-43,65.3491,-147.0034
Tagging,34-44,65.3546,-147.0186
Tagging,34-45,65.3405,-146.9864
Tagging,34-46,65.3546,-147.0186
Tagging,34-47,65.3386,-146.9590
Tagging,34-48,65.3405,-146.9864
Tagging,34-49,65.4782,-146.5787
Tagging,34-50,65.3674,-147.0791
Tagging,34-51,65.3812,-147.1019
Tagging,34-52,65.3833,-147.1038
Tagging,34-53,65.3833,-147.1038
Tagging,34-54,65.3831,-147.1100
Tagging,34-55,65.3831,-147.1100
Tagging,34-56,65.3831,-147.1100
Tagging,34-57,65.3956,-147.1921
Tagging,34-58,65.3956,-147.1921
Tagging,34-59,65.3947,-147.2998
Tagging,34-60,65.3947,-147.2998
Tagging,34-61,65.3844,-147.3306
Tagging,34-62,65.3844,-147.3306
Tagging,34-63,65.3844,-147.3306
Tagging,34-64,65.3843,-147.4042
Tagging,34-65,65.3843,-147.4042
Tagging,34-66,65.3806,-147.4454
Tagging,34-67,65.3806,-147.4454
Tagging,34-68,65.3806,-147.4454
Tagging,34-69,65.3771,-147.4479
