"","n","n_Mainstem","n_Tributary","n_Headwaters","p_Mainstem","p_Tributary","p_Headwaters"
"Tagging",149,84,0,65,"0.56 (0.04)","0 (0)","0.44 (0.04)"
"2021-12-22",89,79,2,8,"0.89 (0.03)","0.02 (0.02)","0.09 (0.03)"
"2022-03-15",120,109,3,8,"0.91 (0.03)","0.03 (0.01)","0.07 (0.02)"
"2022-04-22",115,107,0,8,"0.93 (0.02)","0 (0)","0.07 (0.02)"
"2022-05-18",105,82,10,13,"0.78 (0.04)","0.1 (0.03)","0.12 (0.03)"
"2022-05-25",104,77,16,11,"0.74 (0.04)","0.15 (0.04)","0.11 (0.03)"
"2022-06-02",107,84,8,15,"0.79 (0.04)","0.07 (0.03)","0.14 (0.03)"
"2022-07-31",94,51,10,33,"0.54 (0.05)","0.11 (0.03)","0.35 (0.05)"
"2022-08-19",77,40,9,28,"0.52 (0.06)","0.12 (0.04)","0.36 (0.05)"
"2022-10-25",83,60,4,19,"0.72 (0.05)","0.05 (0.02)","0.23 (0.05)"
"2023-03-16",41,32,2,7,"0.78 (0.06)","0.05 (0.03)","0.17 (0.06)"
"2023-05-09",10,7,1,2,"0.7 (0.14)","0.1 (0.09)","0.2 (0.13)"
"2023-05-18",75,64,1,10,"0.85 (0.04)","0.01 (0.01)","0.13 (0.04)"
"2023-05-24",78,55,7,16,"0.71 (0.05)","0.09 (0.03)","0.21 (0.05)"
"2023-06-26",62,42,2,18,"0.68 (0.06)","0.03 (0.02)","0.29 (0.06)"
