"","Fish","Length_mm","n_surveys","homerange_km","cumuldist_km","winter22winter23_km","spring22spring23_km","summer21summer22_km","summer22summer23_km","summer21summer23_km","winter_section","spring_section","summer_section","winter_designation","spring_designation","summer_designation","mn_upstream_km","mn_winter_upstream_km","mn_spring_upstream_km","mn_summer_upstream_km"
"11",11,287,13,97.6888479305985,102.330594433371,NA,0.684639572669083,97.0859689765713,1.0355777816196,96.0503911949517,"Middle","Middle","Headwaters/Middle","Mainstem","Mainstem","Headwaters/Mainstem",400.721241565602,396.682283486906,391.739824981776,424.707566402199
"12",12,263,4,48.8189276113269,53.6107638343272,NA,NA,NA,NA,NA,"Upper",NA,"Headwaters","Mainstem",NA,"Headwaters",454.086374158217,442.764651459364,NA,488.808954724386
"13",13,375,7,38.327447033429,76.6472564060513,NA,NA,0.00763766080676942,NA,NA,"Upper","Headwaters","Headwaters","Mainstem","Headwaters","Headwaters",467.963445676046,449.912662403962,456.806322919017,488.236290606987
"14",14,312,13,47.0997866756122,149.642240929213,1.8334645608587,2.26933359868595,0,34.7899294173538,34.7899294173538,"Upper","Upper","Headwaters","Mainstem","Mainstem","Headwaters",457.301833835197,446.701866763775,441.529984660021,475.898461397172
"15",15,279,4,43.578033514518,44.9483834660452,NA,NA,NA,NA,NA,"Headwaters","Headwaters","Headwaters","Headwaters","Headwaters","Headwaters",464.929410062458,456.950728587338,457.028284605212,487.49510453629
"16",16,275,2,8.70251798240253,8.70251798240253,NA,NA,NA,NA,NA,"Upper",NA,"Headwaters","Mainstem",NA,"Headwaters",451.288764179415,446.937505188214,NA,455.640023170616
"17",17,265,3,84.8098824242023,84.8098824242023,NA,NA,NA,NA,NA,"Upper","Middle","Headwaters","Mainstem","Mainstem","Headwaters",412.648100671451,410.42285692096,371.355781334594,456.165663758797
"18",18,262,13,29.2496760297291,30.2043044245449,0.339347242048867,0.100000000000005,29.0516145107172,0.00671452479077016,29.0583290355079,"Upper","Upper","Headwaters/Upper","Mainstem","Mainstem","Headwaters/Mainstem",429.514390718949,427.261570686759,427.381244307783,436.892366223694
"19",19,268,5,119.026121367875,130.891314928075,24.3047784077451,NA,25.5239108674373,NA,NA,"Upper","Middle","Headwaters/Upper","Mainstem","Mainstem","Headwaters/Trib",422.021723617813,427.755024435005,347.356745783581,453.620911717737
"20",20,325,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Middle",NA,NA,"Mainstem",389.808341320179,NA,NA,389.808341320179
